,week_start,iso_code,location,average_weekly_percent_population_vaccinated,total_weekly_icu_patients_per_million,total_weekly_new_cases_per_ten_million,total_weekly_new_deaths_per_million,total_weekly_new_vaccinatons_per_thousand
129,2020-05-25,NZL,New Zealand,0.0,0.0,0.0,0.193,0.0
130,2020-05-25,OWID_EUN,European Union,0.0,0.0,6.2231,5.284,0.0
131,2020-05-25,USA,United States,0.0,0.0,43.2871,20.131,0.0
132,2020-06-01,DEU,Germany,0.0,52.105,2.8236,0.528,0.0
133,2020-06-01,FRA,France,0.0,116.821,4.2475000000000005,5.122,0.0
134,2020-06-01,GBR,United Kingdom,0.0,60.288,13.1598,20.976,0.0
135,2020-06-01,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
136,2020-06-01,OWID_EUN,European Union,0.0,0.0,5.6997,4.195,0.0
137,2020-06-01,USA,United States,0.0,0.0,44.2755,17.697,0.0
138,2020-06-08,DEU,Germany,0.0,40.087,2.8164000000000002,0.42,0.0
139,2020-06-08,FRA,France,0.0,91.944,4.0649,3.992,0.0
140,2020-06-08,GBR,United Kingdom,0.0,44.512,10.446000000000002,15.316,0.0
141,2020-06-08,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
142,2020-06-08,OWID_EUN,European Union,0.0,0.0,5.8872,3.442,0.0
143,2020-06-08,USA,United States,0.0,0.0,44.8953,15.875,0.0
144,2020-06-15,DEU,Germany,0.0,33.046,5.0282,0.492,0.0
145,2020-06-15,FRA,France,0.0,75.959,3.5078000000000005,2.46,0.0
146,2020-06-15,GBR,United Kingdom,0.0,36.409,10.209,11.051,0.0
147,2020-06-15,NZL,New Zealand,0.0,0.0,0.0965,0.0,0.0
148,2020-06-15,OWID_EUN,European Union,0.0,0.0,6.3223,2.715,0.0
149,2020-06-15,USA,United States,0.0,0.0,53.215,13.17,0.0
150,2020-06-22,DEU,Germany,0.0,29.902,3.7987,0.252,0.0
151,2020-06-22,FRA,France,0.0,64.499,3.1318,1.718,0.0
152,2020-06-22,GBR,United Kingdom,0.0,30.38,7.8064,9.406,0.0
153,2020-06-22,NZL,New Zealand,0.0,0.0,0.3279,0.0,0.0
154,2020-06-22,OWID_EUN,European Union,0.0,0.0,6.2188,1.7040000000000002,0.0
155,2020-06-22,USA,United States,0.0,0.0,76.3482,17.977,0.0
156,2020-06-29,DEU,Germany,0.0,27.130000000000003,3.2278,0.312,0.0
157,2020-06-29,FRA,France,0.0,56.553,3.596,1.547,0.0
158,2020-06-29,GBR,United Kingdom,0.0,25.301000000000002,6.3326,6.755,0.0
159,2020-06-29,NZL,New Zealand,0.0,0.0,0.1351,0.0,0.0
