,week_start,indicator,European Union,France,Germany,New Zealand,United Kingdom,United States
148,2020-07-20,Deaths per million,1.3860000000000001,1.516,0.396,0.0,3.051,22.84
151,2020-07-27,ICU patients per million,0.0,36.63,21.821,0.0,9.244,297.195
152,2020-07-27,New cases per ten million,14.000399999999999,11.877500000000001,5.8091,0.1737,8.1826,127.4794
153,2020-07-27,Deaths per million,1.5310000000000001,1.191,0.444,0.0,2.593,24.08
156,2020-08-03,ICU patients per million,0.0,37.501,20.320999999999998,0.0,7.243,285.54
157,2020-08-03,New cases per ten million,17.8502,16.8646,7.277200000000001,0.0772,9.5069,111.1204
158,2020-08-03,Deaths per million,1.914,1.068,0.408,0.0,2.149,23.055
161,2020-08-10,ICU patients per million,0.0,36.792,19.037,0.0,7.776,261.70799999999997
162,2020-08-10,New cases per ten million,22.8717,25.7634,9.561,1.0028000000000001,11.5496,107.20429999999999
163,2020-08-10,Deaths per million,2.488,1.424,0.372,0.0,2.237,21.886
166,2020-08-17,ICU patients per million,0.0,37.662,19.409,0.0,7.510999999999999,234.41
167,2020-08-17,New cases per ten million,28.0935,39.0056,11.491,1.0221,11.4473,93.3483
168,2020-08-17,Deaths per million,2.419,1.826,0.372,0.0,1.674,19.737000000000002
171,2020-08-24,ICU patients per million,0.0,39.918,19.889,0.0,6.888,209.026
172,2020-08-24,New cases per ten million,33.8868,58.417100000000005,10.6082,1.0414,13.1152,87.1874
173,2020-08-24,Deaths per million,2.5949999999999998,1.718,0.216,0.0,1.482,18.75
176,2020-08-31,ICU patients per million,0.0,46.333,19.097,0.0,7.629,191.858
177,2020-08-31,New cases per ten million,38.8407,77.67229999999999,10.3263,0.8292999999999999,22.994,87.2781
178,2020-08-31,Deaths per million,3.016,1.95,0.42,0.386,1.2890000000000001,16.863
181,2020-09-07,ICU patients per million,0.0,62.599,19.277,0.0,9.421,178.608
182,2020-09-07,New cases per ten million,47.1588,95.0568,11.7369,0.48210000000000003,33.5274,72.60669999999999
183,2020-09-07,Deaths per million,3.69,3.992,0.816,0.0,1.718,14.713000000000001
186,2020-09-14,ICU patients per million,0.0,81.503,20.573,0.0,13.597,166.023
187,2020-09-14,New cases per ten million,57.391200000000005,113.7008,14.735499999999998,0.34719999999999995,38.2911,83.0581
188,2020-09-14,Deaths per million,4.8500000000000005,6.638,0.984,0.193,2.799,15.301
191,2020-09-21,ICU patients per million,0.0,106.19,24.852,0.0,24.619,162.833
192,2020-09-21,New cases per ten million,59.4657,112.19680000000001,15.669900000000002,0.2508,65.7587,90.0926
193,2020-09-21,Deaths per million,5.794,8.65,1.319,0.0,3.941,14.116999999999999
196,2020-09-28,ICU patients per million,0.0,128.898,31.45,0.0,35.432,165.753
197,2020-09-28,New cases per ten million,66.3937,115.7712,19.1268,0.405,109.7781,88.193
198,2020-09-28,Deaths per million,6.465999999999999,8.681,1.451,0.0,6.104,13.855
201,2020-10-05,ICU patients per million,0.0,147.877,41.238,0.0,45.43,178.651
202,2020-10-05,New cases per ten million,100.8415,179.7386,31.360300000000002,0.32799999999999996,163.7029,98.8055
203,2020-10-05,Deaths per million,8.703,10.677,2.963,0.0,8.709,13.643
206,2020-10-12,ICU patients per million,0.0,179.538,55.836,0.0,59.295,195.185
207,2020-10-12,New cases per ten million,151.538,259.6995,50.4151,0.2894,177.8698,114.5863
208,2020-10-12,Deaths per million,12.131,14.901,5.566,0.0,13.481,14.191
211,2020-10-19,ICU patients per million,0.0,240.439,87.778,0.0,76.08,217.721
212,2020-10-19,New cases per ten million,234.6257,404.3674,89.7111,0.945,224.5052,132.8559
213,2020-10-19,Deaths per million,19.703,27.45,12.175,0.0,21.554000000000002,16.918
216,2020-10-26,ICU patients per million,0.0,327.85699999999997,143.181,0.0,98.476,242.112
217,2020-10-26,New cases per ten million,303.02049999999997,514.5015999999999,133.1525,0.4822,227.9579,165.3593
218,2020-10-26,Deaths per million,31.843,48.803,19.443,0.0,29.536,18.02
221,2020-11-02,ICU patients per million,0.0,429.843,219.732,0.0,121.777,273.662
222,2020-11-02,New cases per ten million,318.1949,469.02650000000006,150.7644,0.4436,240.3533,233.5554
223,2020-11-02,Deaths per million,45.57,74.18,22.91,0.0,37.891,21.297
226,2020-11-09,ICU patients per million,0.0,497.07399999999996,268.455,0.0,135.538,321.814
227,2020-11-09,New cases per ten million,283.7299,272.9974,153.3672,0.3472,259.6396,297.0366
228,2020-11-09,Deaths per million,54.012,84.903,30.419,0.0,45.016,25.767
231,2020-11-16,ICU patients per million,0.0,482.016,300.613,0.0,147.98,385.362
232,2020-11-16,New cases per ten million,251.7942,177.8632,154.0125,0.5401,209.02870000000001,347.478
233,2020-11-16,Deaths per million,60.355,86.683,38.695,0.0,48.823,31.984
236,2020-11-23,ICU patients per million,0.0,416.395,320.896,0.0,149.52100000000002,435.524
237,2020-11-23,New cases per ten million,207.00459999999998,119.2651,147.6817,0.463,157.4014,343.6109
238,2020-11-23,Deaths per million,61.894,72.401,43.193,0.0,50.838,35.324
241,2020-11-30,ICU patients per million,0.0,353.016,335.312,0.0,134.11599999999999,476.228
242,2020-11-30,New cases per ten million,188.047,110.4375,153.8422,0.5015000000000001,155.8164,378.6492
243,2020-11-30,Deaths per million,61.054,61.321,53.736,0.0,48.69,43.753
246,2020-12-07,ICU patients per million,0.0,307.198,366.188,0.0,131.122,507.824
247,2020-12-07,New cases per ten million,194.8186,120.18889999999999,187.37349999999998,0.34709999999999996,205.14030000000002,434.0899
248,2020-12-07,Deaths per million,60.376999999999995,58.676,69.114,0.0,47.638,52.363
251,2020-12-14,ICU patients per million,0.0,289.50300000000004,407.497,0.0,141.285,535.1800000000001
252,2020-12-14,New cases per ten million,207.64460000000003,143.7782,209.4151,0.38570000000000004,322.49350000000004,448.70629999999994
253,2020-12-14,Deaths per million,60.43,52.347,77.486,0.0,53.577,55.768
256,2020-12-21,ICU patients per million,0.0,275.848,449.216,0.0,166.659,553.25
257,2020-12-21,New cases per ten million,174.9565,129.8041,166.5207,0.54,360.0546,402.058
258,2020-12-21,Deaths per million,51.566,48.262,68.706,0.0,62.613,54.193
261,2020-12-28,ICU patients per million,0.0,273.443,475.26800000000003,0.0,219.407,572.991
262,2020-12-28,New cases per ten million,187.49020000000002,137.6337,147.47899999999998,0.7135,559.5081,408.22839999999997
263,2020-12-28,Deaths per million,52.480999999999995,45.105,68.898,0.0,77.487,58.086
266,2021-01-04,ICU patients per million,0.0,269.551,464.185,0.0,303.1,587.707
267,2021-01-04,New cases per ten million,235.61829999999998,189.1836,174.5295,0.7714000000000001,626.1023,492.8172
268,2021-01-04,Deaths per million,54.291,53.059,69.078,0.0,98.134,63.546
271,2021-01-11,ICU patients per million,0.0,280.00600000000003,430.49199999999996,0.0,380.262,589.19
272,2021-01-11,New cases per ten million,217.7778,183.8902,142.6523,0.7714000000000001,470.8725,469.998
273,2021-01-11,Deaths per million,54.52,53.445,61.125,0.0,130.265,68.912
276,2021-01-18,ICU patients per million,0.0,296.152,403.313,0.0,414.685,548.113
277,2021-01-18,New cases per ten million,202.8812,201.386,114.6134,0.5206999999999999,364.6065,374.1942
278,2021-01-18,Deaths per million,54.778999999999996,52.827,49.262,0.0,144.024,66.497
281,2021-01-25,ICU patients per million,0.0,319.57,374.272,0.0,402.51,491.801
282,2021-01-25,New cases per ten million,185.26369999999997,205.21570000000003,93.7653,0.2893,254.5959,315.8904
283,2021-01-25,Deaths per million,51.068000000000005,48.881,37.208,0.0,126.976,65.768
286,2021-02-01,ICU patients per million,0.0,334.848,347.296,0.0,366.486,431.186
287,2021-02-01,New cases per ten million,155.7723,198.7586,77.4813,0.32789999999999997,193.9016,253.4069
288,2021-02-01,Deaths per million,45.101,47.488,27.204,0.0,98.578,59.417
291,2021-02-08,ICU patients per million,0.0,342.294,307.977,0.0,314.003,369.011
292,2021-02-08,New cases per ten million,132.974,170.88309999999998,60.965700000000005,0.3087,139.2615,198.224
293,2021-02-08,Deaths per million,38.684,44.749,20.151,0.0,74.953,58.641999999999996
296,2021-02-15,ICU patients per million,0.0,347.633,269.57,0.0,263.936,310.61
297,2021-02-15,New cases per ten million,136.0987,181.89249999999998,62.7673,0.405,118.7502,139.9643
298,2021-02-15,Deaths per million,32.707,38.931,17.728,0.193,57.236,42.661
301,2021-02-22,ICU patients per million,0.0,355.359,245.46,0.0,210.906,259.57800000000003
302,2021-02-22,New cases per ten million,158.18200000000002,197.5904,67.5976,0.40499999999999997,91.0752,137.678
303,2021-02-22,Deaths per million,30.296,33.283,14.718,0.0,39.165,39.493
306,2021-03-01,ICU patients per million,0.0,376.212,235.91199999999998,0.0,164.956,218.458
307,2021-03-01,New cases per ten million,173.2853,192.2722,70.0793,0.5206999999999999,61.4852,124.3723
308,2021-03-01,Deaths per million,29.433999999999997,31.458,12.582,0.0,26.678,30.878
311,2021-03-08,ICU patients per million,0.0,411.53000000000003,232.591,0.0,123.273,191.85
312,2021-03-08,New cases per ten million,195.7117,221.237,85.6317,0.4821,59.7196,113.51219999999999
313,2021-03-08,Deaths per million,31.253999999999998,28.966,13.242,0.0,18.606,25.301
316,2021-03-15,ICU patients per million,0.0,441.935,244.74,0.0,91.44,175.93200000000002
317,2021-03-15,New cases per ten million,223.9912,284.43850000000003,111.08330000000001,0.6173,56.5289,112.197
318,2021-03-15,Deaths per million,33.186,27.837,15.317,0.0,12.695,18.518
321,2021-03-22,ICU patients per million,0.0,486.206,275.446,0.0,67.576,172.756
322,2021-03-22,New cases per ten million,251.7131,346.5507,139.5097,0.5979,56.2695,123.50890000000001
323,2021-03-22,Deaths per million,35.799,28.378,18.304,0.0,9.687,18.065
